intento: 2 tiempo: 0.012 [0.0529502492957655 0.00964672529323544 0.0137880371222417 0.0109506217014997 0.0126128638783755;0.00964672529323544 0.0513968080742705 0.00995333488198396 0.00964891107852107 0.0088075887623379;0.0137880371222417 0.00995333488198396 0.0537756413976196 0.0139521367042389 0.0111051958262435;0.0109506217014997 0.00964891107852107 0.0139521367042389 0.0526122224029916 0.0087903203820237;0.0126128638783755 0.0088075887623379 0.0111051958262435 0.0087903203820237 0.0482661877108568]
intento: 4 tiempo: 0.013 [0.054076597804997 0.014716666458615 0.011008937314873 0.00911176241197153 0.0108827426871808;0.014716666458615 0.0663321158183956 0.018467264804863 0.0130329955747241 0.0161976996073706;0.011008937314873 0.018467264804863 0.0561577715131284 0.0112294534038378 0.0143158162081712;0.00911176241197153 0.0130329955747241 0.0112294534038378 0.054012031367236 0.00876651476730476;0.0108827426871808 0.0161976996073706 0.0143158162081712 0.00876651476730476 0.0560494650113286]
intento: 6 tiempo: 0.012 [0.0554877197554606 0.012249833076844 0.00991061475138048 0.011582739985242 0.0116148122985024;0.012249833076844 0.0542205481087884 0.0108242466953903 0.0110206851638165 0.0115484769625183;0.00991061475138048 0.0108242466953903 0.0483942348659213 0.011133570611099 0.00961212920181718;0.011582739985242 0.0110206851638165 0.011133570611099 0.0520810324010552 0.0114490669228451;0.0116148122985024 0.0115484769625183 0.00961212920181718 0.0114490669228451 0.0476791300220362]
intento: 8 tiempo: 0.013 [0.0545611854425891 0.0135844279068029 0.0145104313073213 0.0108345741768307 0.0124213063941511;0.0135844279068029 0.0545178133329174 0.0147611200435673 0.0130252265108261 0.0135167157610832;0.0145104313073213 0.0147611200435673 0.0558180931025559 0.0123245419774997 0.0154100078148061;0.0108345741768307 0.0130252265108261 0.0123245419774997 0.0587277874925856 0.0127180985546575;0.0124213063941511 0.0135167157610832 0.0154100078148061 0.0127180985546575 0.0536465352424371]
intento: 10 tiempo: 0.013 [0.0617193069776431 0.0188353970473471 0.0155810520279625 0.0114526546044515 0.0167616492319724;0.0188353970473471 0.0591544263794483 0.0143424787545175 0.00999071582890972 0.0148178775082107;0.0155810520279625 0.0143424787545175 0.058990587745133 0.0102806693068959 0.0146589431173388;0.0114526546044515 0.00999071582890972 0.0102806693068959 0.0527666087127919 0.0114481252593283;0.0167616492319724 0.0148178775082107 0.0146589431173388 0.0114481252593283 0.0605248564265342]
intento: 12 tiempo: 0.013 [0.0672268763994619 0.0198645911932648 0.0132517063459477 0.0168422413595144 0.00918489544241466;0.0198645911932648 0.0667520368762172 0.0160219200849359 0.02266446377909 0.0158266132918053;0.0132517063459477 0.0160219200849359 0.0617623292577838 0.0164795811574035 0.013254005021373;0.0168422413595144 0.02266446377909 0.0164795811574035 0.0773544059932148 0.0165035118514316;0.00918489544241466 0.0158266132918053 0.013254005021373 0.0165035118514316 0.060484198111745]
intento: 14 tiempo: 0.013 [0.0491589062464525 0.0106613013917794 0.00927494599776937 0.0112303637825135 0.0104749207690322;0.0106613013917794 0.0529981464830122 0.0134894182435501 0.0100178440815641 0.0119521747681102;0.00927494599776937 0.0134894182435501 0.0518782081538187 0.0120251213475342 0.0124738784862722;0.0112303637825135 0.0100178440815641 0.0120251213475342 0.0531883031448672 0.0113864405287918;0.0104749207690322 0.0119521747681102 0.0124738784862722 0.0113864405287918 0.0512986746207771]
intento: 16 tiempo: 0.013 [0.0628714789791882 0.0146760149660041 0.0130331609363082 0.0147585953499426 0.0140090650362341;0.0146760149660041 0.0596661656193887 0.0139100569548317 0.0120064184759463 0.0130666837613373;0.0130331609363082 0.0139100569548317 0.0658260104633909 0.015424016215029 0.0154334521026875;0.0147585953499426 0.0120064184759463 0.015424016215029 0.0610418224780995 0.0177195782534164;0.0140090650362341 0.0130666837613373 0.0154334521026875 0.0177195782534164 0.059701376523265]
intento: 18 tiempo: 0.013 [0.062242221838096 0.0172171660768479 0.0111177181018819 0.0177419372556928 0.0131318762088537;0.0172171660768479 0.0620578098778476 0.0114564968933199 0.0156193621264398 0.0148892221230968;0.0111177181018819 0.0114564968933199 0.057535435766609 0.0126497965955745 0.011655379561675;0.0177419372556928 0.0156193621264398 0.0126497965955745 0.0674439429327085 0.0157855382159307;0.0131318762088537 0.0148892221230968 0.011655379561675 0.0157855382159307 0.0622509043090761]
intento: 20 tiempo: 0.012 [0.0575004160920966 0.0122480176579461 0.0134204166502701 0.00858934456124626 0.00976821640466784;0.0122480176579461 0.0592057362258672 0.0140060155428774 0.012905919170707 0.0122971793626048;0.0134204166502701 0.0140060155428774 0.0577141444776587 0.0123568883325396 0.0130984826217339;0.00858934456124626 0.012905919170707 0.0123568883325396 0.0515633420485949 0.0124621947640536;0.00976821640466784 0.0122971793626048 0.0130984826217339 0.0124621947640536 0.0544160040472562]
intento: 22 tiempo: 0.012 [0.0702969120814462 0.0158325914631494 0.0135292414697884 0.0177065928901311 0.0155899896041187;0.0158325914631494 0.0665674780530505 0.014648826748657 0.0145459333964003 0.0133285868581353;0.0135292414697884 0.014648826748657 0.0580402155222162 0.00837036195155011 0.00763551786961209;0.0177065928901311 0.0145459333964003 0.00837036195155011 0.0608470049169752 0.0115021400277842;0.0155899896041187 0.0133285868581353 0.00763551786961209 0.0115021400277842 0.0560583649277868]
intento: 24 tiempo: 0.012 [0.0610012438216607 0.0119081984935934 0.0118638238253948 0.0142323800313031 0.0163896752979469;0.0119081984935934 0.0652252579399495 0.0131006551336758 0.0146948984409215 0.0146075858168243;0.0118638238253948 0.0131006551336758 0.067113828814177 0.0195204222583867 0.0219239010496233;0.0142323800313031 0.0146948984409215 0.0195204222583867 0.0623837236478364 0.0174436649355759;0.0163896752979469 0.0146075858168243 0.0219239010496233 0.0174436649355759 0.0711440058917546]
intento: 26 tiempo: 0.012 [0.0547919628519806 0.0135645152750459 0.0123414949433827 0.0110142283389412 0.0136091704011467;0.0135645152750459 0.0605483380885256 0.00871720757261449 0.0116446694761568 0.0137532829549465;0.0123414949433827 0.00871720757261449 0.0535323854159876 0.0102887938150912 0.0118055459035761;0.0110142283389412 0.0116446694761568 0.0102887938150912 0.0557388697476045 0.0146108004873276;0.0136091704011467 0.0137532829549465 0.0118055459035761 0.0146108004873276 0.0621903111159106]
